species_code,scientific_name,data_year,type,percent_forested_population,percent_global_population
ameavo,Recurvirostra americana,2022,breeding,0.25092499148660574,7.374188049720961e-4
canvas,Aythya valisineria,2022,breeding,0.4409185272910007,7.311841343896268e-4
norsho,Spatula clypeata,2022,nonbreeding,0.37892025913410715,7.258623731483213e-4
norpin,Anas acuta,2022,nonbreeding,0.39757976281394425,7.113603532443627e-4
dunlin,Calidris alpina,2022,nonbreeding,0.20002628475565729,6.73125766669949e-4
whwcro,Loxia leucoptera,2022,breeding,0.7685896745880052,6.692461931279181e-4
piggui,Cepphus columba,2022,breeding,0.18093089725585682,6.476950622977481e-4
bkhpar,Aratinga nenday,2022,resident,0.6863145435419975,6.413652635670627e-4
ovenbi1,Seiurus aurocapilla,2022,breeding,0.5626531964027011,6.375233444830289e-4
fiespa,Spizella pusilla,2022,breeding,0.6501312888536218,6.354491526319998e-4
rinphe1,Phasianus colchicus,2022,resident,0.4963359325269606,6.31522918191791e-4
mexchi,Poecile sclateri,2022,resident,0.4767841126957603,6.28792351283251e-4
rinphe,Phasianus colchicus/versicolor,2021,resident,0.4700835380748008,6.265851068497097e-4
clcspa,Spizella pallida,2022,breeding,0.4918285517620306,5.921623706605339e-4
dusfly,Empidonax oberholseri,2022,nonbreeding,0.12654235491294893,5.883082219747006e-4
vesspa,Pooecetes gramineus,2022,nonbreeding,0.19089994931561222,5.835233777336686e-4
gryhaw2,Buteo plagiatus,2022,breeding,0.0747027484561354,5.763977485858432e-4
greyel,Tringa melanoleuca,2022,nonbreeding,0.3138212379547032,5.724752745673835e-4
buggna,Polioptila caerulea,2022,nonbreeding,0.4385460386158639,5.584471329791621e-4
casspa,Peucaea cassinii,2022,breeding,0.15731441745365252,5.574423617346194e-4
gilfli,Colaptes chrysoides,2022,resident,0.3665415108669811,5.530192862262872e-4
grnher,Butorides virescens,2022,breeding,0.3872505901095092,5.385349738294448e-4
semplo,Charadrius semipalmatus,2022,nonbreeding,0.2659690530848955,5.266704530203638e-4
perfal,Falco peregrinus,2022,nonbreeding,0.28428252925906305,5.109216011386407e-4
botspa,Peucaea botterii,2021,resident,0.019914913772481033,5.055119449592274e-4
forter,Sterna forsteri,2022,nonbreeding,0.2881619295882972,4.954099663615214e-4
sposan,Actitis macularius,2022,nonbreeding,0.39656068562763586,4.8666637505291035e-4
pelcor,Urile pelagicus,2022,resident,0.16406093615345166,4.7742244347396184e-4
