"species_code","scientific_name","common_name","resident","breeding_quality","breeding_range_modeled","breeding_start","breeding_end","nonbreeding_quality","nonbreeding_range_modeled","nonbreeding_start","nonbreeding_end","postbreeding_migration_quality","postbreeding_migration_range_modeled","postbreeding_migration_start","postbreeding_migration_end","prebreeding_migration_quality","prebreeding_migration_range_modeled","prebreeding_migration_start","prebreeding_migration_end","resident_quality","resident_start","resident_end"
"grerhe1","Rhea americana","Greater Rhea",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"higtin1","Nothocercus bonapartei","Highland Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2021-01-04,2021-12-28
"gretin1","Tinamus major","Great Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"littin1","Crypturellus soui","Little Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"pabtin1","Crypturellus transfasciatus","Pale-browed Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"slbtin1","Crypturellus boucardi","Slaty-breasted Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"thitin1","Crypturellus cinnamomeus","Thicket Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"rewtin1","Rhynchotus rufescens","Red-winged Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"andtin1","Nothoprocta pentlandii","Andean Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"sponot1","Nothura maculosa","Spotted Nothura",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"sobkiw1","Apteryx australis","Southern Brown Kiwi",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"liskiw1","Apteryx owenii","Little Spotted Kiwi",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2021-01-04,2021-12-28
"souscr1","Chauna torquata","Southern Screamer",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"wfwduc1","Dendrocygna viduata","White-faced Whistling-Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"bbwduc","Dendrocygna autumnalis","Black-bellied Whistling-Duck",FALSE,"3","TRUE",2021-05-24,2021-08-03,"3","TRUE",2021-01-18,2021-03-01,"3","TRUE",2021-08-10,2021-01-11,"3","TRUE",2021-03-08,2021-05-17,NA,NA,NA
"wiwduc1","Dendrocygna arborea","West Indian Whistling-Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"fuwduc","Dendrocygna bicolor","Fulvous Whistling-Duck",FALSE,"2","FALSE",2021-05-10,2021-08-17,"2","FALSE",2021-11-30,2021-02-15,"2","FALSE",2021-08-24,2021-11-23,"2","FALSE",2021-02-22,2021-05-03,NA,NA,NA
"lewduc1","Dendrocygna javanica","Lesser Whistling-Duck",FALSE,"1","TRUE",2021-05-31,2021-08-17,"2","TRUE",2021-11-23,2021-03-08,"2","TRUE",2021-08-24,2021-11-16,"2","TRUE",2021-03-15,2021-05-24,NA,NA,NA
"bahgoo","Anser indicus","Bar-headed Goose",FALSE,"1","FALSE",2021-06-07,2021-07-27,"2","TRUE",2021-12-14,2021-03-22,"1","FALSE",2021-08-03,2021-12-07,"1","FALSE",2021-03-29,2021-05-31,NA,NA,NA
"empgoo","Anser canagicus","Emperor Goose",FALSE,"2","TRUE",2021-06-14,2021-06-14,"2","FALSE",2021-10-26,2021-04-19,"2","FALSE",2021-09-07,2021-10-19,"2","FALSE",2021-04-26,2021-05-31,NA,NA,NA
"snogoo","Anser caerulescens","Snow Goose",FALSE,"3","TRUE",2021-06-07,2021-08-03,"3","TRUE",2021-12-28,2021-01-11,"3","TRUE",2021-08-17,2021-12-21,"3","TRUE",2021-01-18,2021-05-31,NA,NA,NA
"rosgoo","Anser rossii","Ross's Goose",FALSE,"2","TRUE",2021-06-14,2021-07-06,"3","TRUE",2021-12-21,2021-01-18,"2","TRUE",2021-08-24,2021-12-07,"3","TRUE",2021-01-25,2021-06-07,NA,NA,NA
"gragoo","Anser anser","Graylag Goose",FALSE,"2","TRUE",2021-05-24,2021-08-17,"2","TRUE",2021-12-14,2021-01-25,"2","TRUE",2021-08-24,2021-12-07,"2","TRUE",2021-02-01,2021-05-17,NA,NA,NA
"gwfgoo","Anser albifrons","Greater White-fronted Goose",FALSE,"2","FALSE",2021-06-07,2021-07-27,"3","TRUE",2021-12-14,2021-01-18,"2","FALSE",2021-08-03,2021-12-07,"2","FALSE",2021-01-25,2021-05-31,NA,NA,NA
"taibeg1","Anser fabalis","Taiga Bean-Goose",FALSE,"1","FALSE",2021-06-14,2021-07-06,"0","FALSE",NA,NA,"2","FALSE",2021-07-13,2021-12-14,"1","FALSE",2021-01-25,2021-06-07,NA,NA,NA
"pifgoo","Anser brachyrhynchus","Pink-footed Goose",FALSE,"2","TRUE",2021-06-07,2021-07-13,"3","TRUE",2021-11-30,2021-02-22,"2","TRUE",2021-09-14,2021-11-23,"2","TRUE",2021-03-01,2021-05-10,NA,NA,NA
"brant","Branta bernicla","Brant",FALSE,"2","FALSE",2021-06-14,2021-08-24,"2","FALSE",2021-12-07,2021-02-08,"2","FALSE",2021-08-31,2021-11-30,"2","FALSE",2021-02-15,2021-06-07,NA,NA,NA
"bargoo","Branta leucopsis","Barnacle Goose",FALSE,"2","TRUE",2021-06-21,2021-06-28,"3","TRUE",2021-12-28,2021-03-01,"2","TRUE",2021-09-07,2021-12-21,"2","TRUE",2021-03-08,2021-05-03,NA,NA,NA
"cacgoo1","Branta hutchinsii","Cackling Goose",FALSE,"3","TRUE",2021-06-07,2021-07-27,"3","TRUE",2021-01-04,2021-01-25,"3","TRUE",2021-08-03,2021-12-28,"3","TRUE",2021-02-01,2021-05-31,NA,NA,NA
"cangoo","Branta canadensis","Canada Goose",FALSE,"3","TRUE",2021-05-17,2021-08-03,"3","TRUE",2021-12-14,2021-01-18,"3","TRUE",2021-08-17,2021-12-07,"3","TRUE",2021-01-25,2021-05-10,NA,NA,NA
"rebgoo1","Branta ruficollis","Red-breasted Goose",FALSE,"0","FALSE",NA,NA,"2","FALSE",2021-12-28,2021-02-22,"1","FALSE",2021-10-05,2021-12-21,"1","FALSE",2021-03-01,2021-05-17,NA,NA,NA
"mutswa","Cygnus olor","Mute Swan",FALSE,"2","FALSE",2021-03-08,2021-09-14,"2","FALSE",2021-12-07,2021-01-11,"2","FALSE",2021-09-21,2021-11-30,"2","FALSE",2021-01-18,2021-03-01,NA,NA,NA
"blkswa","Cygnus atratus","Black Swan",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"blnswa2","Cygnus melancoryphus","Black-necked Swan",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"truswa","Cygnus buccinator","Trumpeter Swan",FALSE,"3","TRUE",2021-05-17,2021-09-07,"3","TRUE",2021-12-07,2021-02-15,"3","TRUE",2021-09-14,2021-11-30,"3","TRUE",2021-02-22,2021-05-10,NA,NA,NA
"tunswa","Cygnus columbianus","Tundra Swan",FALSE,"2","FALSE",2021-06-07,2021-08-10,"3","TRUE",2021-12-28,2021-02-15,"2","FALSE",2021-08-17,2021-12-21,"2","FALSE",2021-02-22,2021-05-31,NA,NA,NA
"whoswa","Cygnus cygnus","Whooper Swan",FALSE,"1","FALSE",2021-05-31,2021-08-24,"1","TRUE",2021-12-28,2021-02-15,"1","FALSE",2021-08-31,2021-12-21,"1","FALSE",2021-02-22,2021-05-24,NA,NA,NA
"cosswa1","Coscoroba coscoroba","Coscoroba Swan",FALSE,"3","TRUE",2021-11-16,2021-01-18,"3","TRUE",2021-06-07,2021-08-31,"3","TRUE",2021-01-25,2021-05-24,"3","TRUE",2021-09-07,2021-11-09,NA,NA,NA
"origoo1","Oressochen jubatus","Orinoco Goose",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"andgoo1","Oressochen melanopterus","Andean Goose",FALSE,"2","TRUE",2021-11-16,2021-03-15,"3","TRUE",2021-05-24,2021-09-14,"2","TRUE",2021-03-22,2021-05-17,"2","TRUE",2021-09-21,2021-11-09,NA,NA,NA
"uplgoo1","Chloephaga picta","Upland Goose",FALSE,"3","TRUE",2021-10-12,2021-02-22,"3","TRUE",2021-06-14,2021-07-20,"3","TRUE",2021-03-08,2021-05-10,"3","TRUE",2021-07-27,2021-10-05,NA,NA,NA
"ashgoo1","Chloephaga poliocephala","Ashy-headed Goose",FALSE,"2","TRUE",2021-12-07,2021-02-01,"2","TRUE",2021-06-07,2021-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"egygoo","Alopochen aegyptiaca","Egyptian Goose",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"parshe1","Tadorna variegata","Paradise Shelduck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"comshe","Tadorna tadorna","Common Shelduck",FALSE,"2","FALSE",2021-05-31,2021-08-31,"2","FALSE",2021-12-21,2021-03-15,"2","FALSE",2021-09-07,2021-12-14,"2","FALSE",2021-03-22,2021-05-24,NA,NA,NA
"spwgoo1","Plectropterus gambensis","Spur-winged Goose",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2021-01-04,2021-12-28
"flystd1","Tachyeres patachonicus","Flying Steamer-Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"creduc1","Lophonetta specularioides","Crested Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2021-01-04,2021-12-28
"musduc","Cairina moschata","Muscovy Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"copgoo1","Nettapus coromandelianus","Cotton Pygmy-Goose",FALSE,"0","FALSE",NA,NA,"1","FALSE",2021-11-30,2021-03-22,"1","FALSE",2021-10-12,2021-11-23,"1","FALSE",2021-03-29,2021-06-07,NA,NA,NA
"rintea1","Callonetta leucophrys","Ringed Teal",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"wooduc","Aix sponsa","Wood Duck",FALSE,"3","TRUE",2021-04-26,2021-07-27,"3","TRUE",2021-12-28,2021-01-25,"3","TRUE",2021-08-03,2021-12-07,"3","TRUE",2021-02-01,2021-04-19,NA,NA,NA
"manduc","Aix galericulata","Mandarin Duck",FALSE,"1","TRUE",2021-04-19,2021-08-03,"1","TRUE",2021-01-25,2021-02-15,"1","TRUE",2021-08-10,2021-11-16,"1","TRUE",2021-02-22,2021-04-12,NA,NA,NA
"bratea1","Amazonetta brasiliensis","Brazilian Teal",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"bluduc1","Hymenolaimus malacorhynchos","Blue Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"gargan","Spatula querquedula","Garganey",FALSE,"2","TRUE",2021-06-07,2021-06-28,"2","FALSE",2021-12-21,2021-02-01,"2","TRUE",2021-07-06,2021-12-14,"2","TRUE",2021-02-08,2021-05-31,NA,NA,NA
"siltea1","Spatula versicolor","Silver Teal",FALSE,"2","TRUE",2021-09-21,2021-05-10,"2","TRUE",2021-05-17,2021-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"buwtea","Spatula discors","Blue-winged Teal",FALSE,"3","TRUE",2021-06-14,2021-07-13,"3","TRUE",2021-12-28,2021-01-25,"3","TRUE",2021-07-20,2021-12-21,"3","TRUE",2021-02-01,2021-06-07,NA,NA,NA
"cintea","Spatula cyanoptera","Cinnamon Teal",FALSE,"3","TRUE",2021-05-24,2021-07-06,"3","TRUE",2021-12-28,2021-01-25,"3","TRUE",2021-07-13,2021-12-21,"3","TRUE",2021-02-01,2021-05-17,NA,NA,NA
"redsho1","Spatula platalea","Red Shoveler",FALSE,"2","TRUE",2021-10-12,2021-04-12,"2","TRUE",2021-05-31,2021-08-03,"2","TRUE",2021-04-19,2021-05-24,"2","TRUE",2021-08-10,2021-10-05,NA,NA,NA
"norsho","Spatula clypeata","Northern Shoveler",FALSE,"2","TRUE",2021-06-07,2021-07-20,"2","TRUE",2021-12-21,2021-01-25,"2","TRUE",2021-07-27,2021-12-14,"2","TRUE",2021-02-01,2021-05-31,NA,NA,NA
"gadwal","Mareca strepera","Gadwall",FALSE,"2","FALSE",2021-06-07,2021-07-27,"3","TRUE",2021-12-21,2021-01-25,"2","TRUE",2021-08-03,2021-12-14,"2","TRUE",2021-02-01,2021-05-31,NA,NA,NA
"eurwig","Mareca penelope","Eurasian Wigeon",FALSE,"2","FALSE",2021-06-14,2021-07-27,"3","TRUE",2021-12-28,2021-02-08,"2","FALSE",2021-08-03,2021-12-21,"2","FALSE",2021-02-15,2021-06-07,NA,NA,NA
"amewig","Mareca americana","American Wigeon",FALSE,"3","TRUE",2021-05-31,2021-08-03,"3","TRUE",2021-12-14,2021-01-18,"3","TRUE",2021-08-10,2021-12-07,"3","TRUE",2021-01-25,2021-05-24,NA,NA,NA
"chiwig1","Mareca sibilatrix","Chiloe Wigeon",FALSE,"3","TRUE",2021-09-28,2021-04-26,"3","TRUE",2021-06-14,2021-08-10,"3","TRUE",2021-05-03,2021-06-07,"3","TRUE",2021-08-17,2021-09-21,NA,NA,NA
"afbduc1","Anas sparsa","African Black Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2021-01-04,2021-12-28
"pabduc1","Anas superciliosa","Pacific Black Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"isbduc1","Anas poecilorhyncha","Indian Spot-billed Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"spbduc","Anas zonorhyncha","Eastern Spot-billed Duck",FALSE,"1","FALSE",2021-05-31,2021-07-20,"1","FALSE",2021-11-30,2021-02-22,"2","TRUE",2021-07-27,2021-11-23,"2","TRUE",2021-03-01,2021-05-24,NA,NA,NA
"mallar3","Anas platyrhynchos","Mallard",FALSE,"3","TRUE",2021-06-07,2021-08-17,"3","TRUE",2021-12-28,2021-01-25,"3","TRUE",2021-08-24,2021-12-21,"3","TRUE",2021-02-01,2021-05-31,NA,NA,NA
"mexduc","Anas diazi","Mexican Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"ambduc","Anas rubripes","American Black Duck",FALSE,"3","TRUE",2021-05-24,2021-07-13,"3","TRUE",2021-12-14,2021-02-15,"2","TRUE",2021-07-20,2021-12-07,"2","TRUE",2021-02-22,2021-05-17,NA,NA,NA
"motduc","Anas fulvigula","Mottled Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-09-07,2021-06-28
"whcpin","Anas bahamensis","White-cheeked Pintail",FALSE,"3","TRUE",2021-11-02,2021-02-08,"2","TRUE",2021-05-03,2021-07-13,"3","TRUE",2021-02-15,2021-04-26,"3","TRUE",2021-07-20,2021-10-26,NA,NA,NA
"rebduc1","Anas erythrorhyncha","Red-billed Duck",FALSE,"1","FALSE",2021-12-14,2021-06-28,"1","FALSE",2021-07-06,2021-12-07,"0","FALSE",NA,NA,"0","FALSE",NA,NA,NA,NA,NA
"norpin","Anas acuta","Northern Pintail",FALSE,"2","TRUE",2021-06-07,2021-07-20,"2","TRUE",2021-12-21,2021-01-18,"2","TRUE",2021-07-27,2021-12-14,"2","TRUE",2021-01-25,2021-05-31,NA,NA,NA
"yebpin1","Anas georgica","Yellow-billed Pintail",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"gnwtea","Anas crecca","Green-winged Teal",FALSE,"2","TRUE",2021-06-07,2021-07-27,"3","TRUE",2021-12-28,2021-01-25,"3","TRUE",2021-08-03,2021-12-21,"3","TRUE",2021-02-01,2021-05-31,NA,NA,NA
"yebtea1","Anas flavirostris","Yellow-billed Teal",FALSE,"3","TRUE",2021-08-24,2021-04-12,"3","TRUE",2021-07-06,2021-07-27,"3","TRUE",2021-04-19,2021-06-28,"3","TRUE",2021-08-03,2021-08-17,NA,NA,NA
"gretea1","Anas gracilis","Gray Teal",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"recpoc","Netta rufina","Red-crested Pochard",FALSE,"1","TRUE",2021-06-14,2021-07-27,"2","TRUE",2021-12-14,2021-02-22,"2","TRUE",2021-10-12,2021-12-07,"2","TRUE",2021-03-01,2021-04-26,NA,NA,NA
"robpoc1","Netta peposaca","Rosy-billed Pochard",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"canvas","Aythya valisineria","Canvasback",FALSE,"3","TRUE",2021-06-07,2021-08-31,"3","TRUE",2021-12-21,2021-01-25,"3","TRUE",2021-09-07,2021-12-14,"3","TRUE",2021-02-01,2021-05-31,NA,NA,NA
"redhea","Aythya americana","Redhead",FALSE,"3","TRUE",2021-05-31,2021-08-24,"3","TRUE",2021-12-28,2021-01-25,"3","TRUE",2021-08-31,2021-12-21,"3","TRUE",2021-02-01,2021-05-24,NA,NA,NA
"compoc","Aythya ferina","Common Pochard",FALSE,"2","TRUE",2021-05-10,2021-07-27,"0","FALSE",NA,NA,"2","TRUE",2021-08-03,2021-11-16,"2","TRUE",2021-02-22,2021-05-03,NA,NA,NA
"rinduc","Aythya collaris","Ring-necked Duck",FALSE,"3","TRUE",2021-06-07,2021-07-27,"3","TRUE",2021-12-21,2021-01-25,"3","TRUE",2021-08-03,2021-12-14,"3","TRUE",2021-02-01,2021-05-31,NA,NA,NA
"ferduc","Aythya nyroca","Ferruginous Duck",FALSE,"0","FALSE",NA,NA,"1","TRUE",2021-01-11,2021-01-18,"0","FALSE",NA,NA,"0","FALSE",NA,NA,NA,NA,NA
"tufduc","Aythya fuligula","Tufted Duck",FALSE,"2","TRUE",2021-06-14,2021-08-31,"3","TRUE",2021-12-07,2021-03-15,"2","TRUE",2021-09-07,2021-11-30,"2","TRUE",2021-03-22,2021-06-07,NA,NA,NA
"gresca","Aythya marila","Greater Scaup",FALSE,"2","FALSE",2021-06-07,2021-08-24,"2","TRUE",2021-12-14,2021-01-25,"2","FALSE",2021-08-31,2021-12-07,"2","FALSE",2021-02-01,2021-05-31,NA,NA,NA
"lessca","Aythya affinis","Lesser Scaup",FALSE,"3","TRUE",2021-06-07,2021-07-27,"3","TRUE",2021-12-21,2021-01-25,"3","TRUE",2021-08-03,2021-12-14,"3","TRUE",2021-02-01,2021-05-31,NA,NA,NA
"steeid","Polysticta stelleri","Steller's Eider",FALSE,"2","FALSE",2021-07-06,2021-07-20,"2","FALSE",2021-02-01,2021-03-08,"2","FALSE",2021-07-27,2021-10-12,"2","FALSE",2021-03-15,2021-06-28,NA,NA,NA
"speeid","Somateria fischeri","Spectacled Eider",FALSE,"2","FALSE",2021-06-14,2021-07-13,"0","FALSE",NA,NA,"2","FALSE",2021-07-20,2021-09-21,"2","FALSE",2021-05-17,2021-06-07,NA,NA,NA
"kineid","Somateria spectabilis","King Eider",FALSE,"2","TRUE",2021-05-31,2021-07-06,"2","FALSE",2021-11-23,2021-03-15,"2","FALSE",2021-07-13,2021-11-16,"2","FALSE",2021-03-22,2021-05-24,NA,NA,NA
"comeid","Somateria mollissima","Common Eider",FALSE,"2","TRUE",2021-06-07,2021-08-10,"3","TRUE",2021-12-07,2021-02-22,"2","FALSE",2021-09-28,2021-11-30,"2","FALSE",2021-03-01,2021-05-31,NA,NA,NA
"harduc","Histrionicus histrionicus","Harlequin Duck",FALSE,"2","FALSE",2021-05-31,2021-08-17,"2","TRUE",2021-11-30,2021-03-29,"2","FALSE",2021-08-24,2021-11-23,"2","FALSE",2021-04-05,2021-05-24,NA,NA,NA
"sursco","Melanitta perspicillata","Surf Scoter",FALSE,"2","TRUE",2021-06-14,2021-07-13,"3","TRUE",2021-12-28,2021-03-15,"3","TRUE",2021-08-24,2021-12-21,"3","TRUE",2021-03-22,2021-05-31,NA,NA,NA
"whwsco3","Melanitta fusca","Velvet Scoter",FALSE,"2","FALSE",2021-06-14,2021-06-21,"2","FALSE",2021-11-30,2021-02-15,"2","FALSE",2021-06-28,2021-11-23,"2","FALSE",2021-02-22,2021-06-07,NA,NA,NA
"whwsco2","Melanitta deglandi","White-winged Scoter",FALSE,"3","TRUE",2021-06-14,2021-07-20,"2","TRUE",2021-01-04,2021-03-15,"3","TRUE",2021-07-27,2021-12-28,"3","TRUE",2021-03-22,2021-06-07,NA,NA,NA
"blksco1","Melanitta nigra","Common Scoter",FALSE,"2","FALSE",2021-06-07,2021-08-03,"2","FALSE",2021-01-04,2021-02-22,"1","FALSE",2021-11-16,2021-12-28,"0","FALSE",NA,NA,NA,NA,NA
"blksco2","Melanitta americana","Black Scoter",FALSE,"2","TRUE",2021-06-21,2021-08-03,"2","TRUE",2021-11-30,2021-03-08,"3","TRUE",2021-08-10,2021-11-23,"3","TRUE",2021-03-15,2021-06-07,NA,NA,NA
"lotduc","Clangula hyemalis","Long-tailed Duck",FALSE,"2","TRUE",2021-06-14,2021-08-03,"2","TRUE",2021-12-21,2021-01-25,"2","TRUE",2021-08-10,2021-12-14,"2","TRUE",2021-03-01,2021-06-07,NA,NA,NA
"buffle","Bucephala albeola","Bufflehead",FALSE,"3","TRUE",2021-06-07,2021-09-07,"3","TRUE",2021-12-28,2021-02-08,"3","TRUE",2021-09-21,2021-12-21,"3","TRUE",2021-02-15,2021-05-24,NA,NA,NA
"comgol","Bucephala clangula","Common Goldeneye",FALSE,"2","TRUE",2021-06-07,2021-08-10,"2","FALSE",2021-01-04,2021-02-08,"2","FALSE",2021-08-17,2021-12-28,"2","FALSE",2021-02-15,2021-05-31,NA,NA,NA
"bargol","Bucephala islandica","Barrow's Goldeneye",FALSE,"3","TRUE",2021-05-31,2021-07-20,"3","TRUE",2021-11-16,2021-02-22,"3","TRUE",2021-07-27,2021-11-09,"3","TRUE",2021-03-01,2021-05-24,NA,NA,NA
"smew","Mergellus albellus","Smew",FALSE,"0","FALSE",NA,NA,"1","TRUE",2021-02-08,2021-02-08,"1","FALSE",2021-07-27,2021-12-21,"1","FALSE",2021-03-01,2021-05-24,NA,NA,NA
"hoomer","Lophodytes cucullatus","Hooded Merganser",FALSE,"3","TRUE",2021-05-31,2021-08-31,"3","TRUE",2021-12-21,2021-01-25,"3","TRUE",2021-09-07,2021-12-14,"3","TRUE",2021-02-01,2021-05-24,NA,NA,NA
"commer","Mergus merganser","Common Merganser",FALSE,"2","FALSE",2021-06-07,2021-09-28,"2","TRUE",2021-12-28,2021-02-08,"2","FALSE",2021-10-05,2021-12-21,"2","FALSE",2021-02-15,2021-05-31,NA,NA,NA
"rebmer","Mergus serrator","Red-breasted Merganser",FALSE,"2","FALSE",2021-06-14,2021-07-20,"3","TRUE",2021-12-21,2021-01-25,"2","FALSE",2021-07-27,2021-12-14,"2","FALSE",2021-02-01,2021-06-07,NA,NA,NA
"blhduc1","Heteronetta atricapilla","Black-headed Duck",FALSE,"2","TRUE",2021-09-28,2021-12-28,"2","TRUE",2021-03-29,2021-07-06,"2","TRUE",2021-01-04,2021-03-22,"2","TRUE",2021-07-13,2021-09-21,NA,NA,NA
"masduc","Nomonyx dominicus","Masked Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"rudduc","Oxyura jamaicensis","Ruddy Duck",FALSE,"3","TRUE",2021-05-31,2021-09-07,"3","TRUE",2021-12-21,2021-01-18,"3","TRUE",2021-09-14,2021-12-14,"3","TRUE",2021-01-25,2021-05-24,NA,NA,NA
"whhduc1","Oxyura leucocephala","White-headed Duck",FALSE,"2","TRUE",2021-05-24,2021-06-07,"2","FALSE",2021-10-19,2021-04-12,"0","FALSE",NA,NA,"2","TRUE",2021-04-19,2021-05-17,NA,NA,NA
"lakduc1","Oxyura vittata","Lake Duck",FALSE,"2","TRUE",2021-08-31,2021-04-19,"2","TRUE",2021-04-26,2021-08-24,"0","FALSE",NA,NA,"0","FALSE",NA,NA,NA,NA,NA
"placha","Ortalis vetula","Plain Chachalaca",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"grhcha1","Ortalis cinereiceps","Gray-headed Chachalaca",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"ruvcha1","Ortalis ruficauda","Rufous-vented Chachalaca",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"rubcha1","Ortalis wagleri","Rufous-bellied Chachalaca",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2021-01-04,2021-12-28
"wemcha1","Ortalis poliocephala","West Mexican Chachalaca",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"chacha1","Ortalis canicollis","Chaco Chachalaca",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"whbcha1","Ortalis leucogastra","White-bellied Chachalaca",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"cregua1","Penelope purpurascens","Crested Guan",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
