"species_code","scientific_name","common_name","resident","breeding_quality","breeding_range_modeled","breeding_start","breeding_end","nonbreeding_quality","nonbreeding_range_modeled","nonbreeding_start","nonbreeding_end","postbreeding_migration_quality","postbreeding_migration_range_modeled","postbreeding_migration_start","postbreeding_migration_end","prebreeding_migration_quality","prebreeding_migration_range_modeled","prebreeding_migration_start","prebreeding_migration_end","resident_quality","resident_start","resident_end"
"chispa","Spizella passerina","Chipping Sparrow",FALSE,"3","TRUE",2021-06-14,2021-07-06,"3","TRUE",2021-12-07,2021-02-22,"3","TRUE",2021-07-13,2021-11-30,"3","TRUE",2021-03-01,2021-06-07,NA,NA,NA
"clcspa","Spizella pallida","Clay-colored Sparrow",FALSE,"3","TRUE",2021-06-07,2021-07-20,"3","TRUE",2021-11-23,2021-03-01,"3","TRUE",2021-07-27,2021-11-16,"3","TRUE",2021-03-08,2021-05-31,NA,NA,NA
"bkcspa","Spizella atrogularis","Black-chinned Sparrow",FALSE,"3","TRUE",2021-05-10,2021-08-10,"3","TRUE",2021-10-26,2021-02-15,"3","TRUE",2021-08-17,2021-10-19,"3","TRUE",2021-02-22,2021-05-03,NA,NA,NA
"fiespa","Spizella pusilla","Field Sparrow",FALSE,"3","TRUE",2021-05-24,2021-09-14,"3","TRUE",2021-11-30,2021-02-22,"3","TRUE",2021-09-21,2021-11-23,"3","TRUE",2021-03-01,2021-05-17,NA,NA,NA
"brespa","Spizella breweri","Brewer's Sparrow",FALSE,"3","TRUE",2021-06-14,2021-07-13,"3","TRUE",2021-11-09,2021-03-01,"3","TRUE",2021-07-20,2021-11-02,"3","TRUE",2021-03-08,2021-06-07,NA,NA,NA
"fisspa","Amphispizopsis quinquestriata","Five-striped Sparrow",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"bktspa","Amphispiza bilineata","Black-throated Sparrow",FALSE,"3","TRUE",2021-05-31,2021-07-20,"3","TRUE",2021-10-19,2021-02-15,"3","TRUE",2021-07-27,2021-10-12,"3","TRUE",2021-02-22,2021-05-24,NA,NA,NA
"larspa","Chondestes grammacus","Lark Sparrow",FALSE,"3","TRUE",2021-05-31,2021-07-13,"3","TRUE",2021-11-23,2021-02-15,"3","TRUE",2021-07-20,2021-11-16,"3","TRUE",2021-02-22,2021-05-24,NA,NA,NA
"larbun","Calamospiza melanocorys","Lark Bunting",FALSE,"3","TRUE",2021-06-14,2021-06-28,"3","TRUE",2021-11-09,2021-03-01,"3","TRUE",2021-07-06,2021-10-26,"3","TRUE",2021-03-08,2021-06-07,NA,NA,NA
"sthbrf3","Arremon costaricensis","Costa Rican Brushfinch",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
